datetime,foo
1954-01-01,0.0
1954-02-01,0.0
1954-03-01,0.5
1954-04-01,0.3
1954-05-01,1.5
1954-06-01,66.1
1954-07-01,217.5
1954-08-01,168.0
1954-09-01,7.2
1954-10-01,12.6
1954-11-01,7.1
1954-12-01,0.3
1955-01-01,0.0
1955-02-01,0.0
1955-03-01,0.0
1955-04-01,0.0
1955-05-01,0.2
1955-06-01,135.9
1955-07-01,483.3
1955-08-01,138.0
1955-09-01,11.6
1955-10-01,1.9
1955-11-01,0.0
1955-12-01,0.0
1956-01-01,12.6
1956-02-01,0.0
1956-03-01,0.0
1956-04-01,0.1
1956-05-01,0.3
1956-06-01,141.9
1956-07-01,240.4
1956-08-01,561.2
1956-09-01,104.6
1956-10-01,1.1
1956-11-01,0.0
1956-12-01,0.4
1957-01-01,0.1
1957-02-01,2.2
1957-03-01,6.0
1957-04-01,0.0
1957-05-01,0.2
1957-06-01,116.2
1957-07-01,352.4
1957-08-01,214.2
1957-09-01,519.3
1957-10-01,33.2
1957-11-01,0.1
1957-12-01,2.6
1958-01-01,0.3
1958-02-01,0.1
1958-03-01,0.1
1958-04-01,0.7
1958-05-01,3.0
1958-06-01,105.0
1958-07-01,110.6
1958-08-01,399.9
1958-09-01,306.7
1958-10-01,50.0
1958-11-01,0.2
1958-12-01,0.0
1959-01-01,0.0
1959-02-01,0.1
1959-03-01,0.0
1959-04-01,0.1
1959-05-01,27.5
1959-06-01,101.3
1959-07-01,655.5
1959-08-01,331.6
1959-09-01,133.3
1959-10-01,113.0
1959-11-01,2.2
1959-12-01,1.3
1960-01-01,2.4
1960-02-01,0.0
1960-03-01,0.2
1960-04-01,0.0
1960-05-01,6.4
1960-06-01,156.7
1960-07-01,261.5
1960-08-01,196.1
1960-09-01,16.4
1960-10-01,7.6
1960-11-01,8.3
1960-12-01,0.2
1961-01-01,1.0
1961-02-01,0.0
1961-03-01,0.2
1961-04-01,1.4
1961-05-01,0.7
1961-06-01,103.3
1961-07-01,340.9
1961-08-01,287.3
1961-09-01,332.3
1961-10-01,47.8
1961-11-01,9.5
1961-12-01,0.1
1962-01-01,0.0
1962-02-01,0.0
1962-03-01,0.0
1962-04-01,3.0
1962-05-01,1.5
1962-06-01,96.3
1962-07-01,627.4
1962-08-01,321.3
1962-09-01,365.1
1962-10-01,122.7
1962-11-01,4.2
1962-12-01,0.1
1963-01-01,1.5
1963-02-01,0.0
1963-03-01,0.2
1963-04-01,0.0
1963-05-01,8.4
1963-06-01,128.9
1963-07-01,220.7
1963-08-01,207.7
1963-09-01,75.0
1963-10-01,6.4
1963-11-01,0.0
1963-12-01,0.1
1964-01-01,0.0
1964-02-01,0.7
1964-03-01,0.0
1964-04-01,0.0
1964-05-01,0.5
1964-06-01,93.8
1964-07-01,357.3
1964-08-01,179.4
1964-09-01,293.2
1964-10-01,15.8
1964-11-01,0.1
1964-12-01,0.0
1965-01-01,0.0
1965-02-01,0.0
1965-03-01,1.4
1965-04-01,1.3
1965-05-01,1.9
1965-06-01,46.2
1965-07-01,296.4
1965-08-01,172.8
1965-09-01,226.1
1965-10-01,0.0
1965-11-01,10.5
1965-12-01,3.2
1966-01-01,1.7
1966-02-01,0.0
1966-03-01,0.9
1966-04-01,0.3
1966-05-01,0.4
1966-06-01,65.5
1966-07-01,288.1
1966-08-01,355.4
1966-09-01,219.9
1966-10-01,27.7
1966-11-01,33.7
1966-12-01,0.5
1967-01-01,0.1
1967-02-01,0.0
1967-03-01,0.0
1967-04-01,0.0
1967-05-01,4.5
1967-06-01,103.5
1967-07-01,372.1
1967-08-01,297.0
1967-09-01,115.4
1967-10-01,0.4
1967-11-01,0.1
1967-12-01,0.0
1968-01-01,7.1
1968-02-01,0.0
1968-03-01,0.5
1968-04-01,0.4
1968-05-01,1.1
1968-06-01,9.5
1968-07-01,439.3
1968-08-01,168.9
1968-09-01,22.9
1968-10-01,1.0
1968-11-01,2.6
1968-12-01,0.1
1969-01-01,0.3
1969-02-01,0.0
1969-03-01,0.1
1969-04-01,0.0
1969-05-01,0.7
1969-06-01,124.2
1969-07-01,314.5
1969-08-01,71.3
1969-09-01,180.5
1969-10-01,0.8
1969-11-01,0.3
1969-12-01,0.1
1970-01-01,0.0
1970-02-01,0.0
1970-03-01,41.5
1970-04-01,0.4
1970-05-01,0.2
1970-06-01,131.1
1970-07-01,410.8
1970-08-01,207.1
1970-09-01,120.9
1970-10-01,0.9
1970-11-01,0.0
1970-12-01,21.3
1971-01-01,0.1
1971-02-01,0.3
1971-03-01,1.4
1971-04-01,0.0
1971-05-01,0.2
1971-06-01,32.4
1971-07-01,287.4
1971-08-01,300.2
1971-09-01,46.7
1971-10-01,10.0
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.1
1972-03-01,0.0
1972-04-01,0.0
1972-05-01,0.0
1972-06-01,100.8
1972-07-01,322.6
1972-08-01,153.0
1972-09-01,197.7
1972-10-01,0.0
1972-11-01,8.2
1972-12-01,4.2
1973-01-01,0.1
1973-02-01,0.9
1973-03-01,0.1
1973-04-01,0.1
1973-05-01,5.8
1973-06-01,264.1
1973-07-01,262.8
1973-08-01,495.7
1973-09-01,325.1
1973-10-01,6.0
1973-11-01,0.0
1973-12-01,0.0
1974-01-01,0.0
1974-02-01,0.1
1974-03-01,0.0
1974-04-01,0.3
1974-05-01,5.3
1974-06-01,180.1
1974-07-01,250.0
1974-08-01,191.7
1974-09-01,136.2
1974-10-01,4.7
1974-11-01,0.0
1974-12-01,0.0
1975-01-01,0.1
1975-02-01,1.9
1975-03-01,0.0
1975-04-01,0.0
1975-05-01,1.7
1975-06-01,85.5
1975-07-01,212.7
1975-08-01,182.0
1975-09-01,23.8
1975-10-01,0.2
1975-11-01,0.0
1975-12-01,0.0
1976-01-01,0.2
1976-02-01,0.5
1976-03-01,0.1
1976-04-01,0.0
1976-05-01,1.2
1976-06-01,95.9
1976-07-01,300.5
1976-08-01,374.3
1976-09-01,388.4
1976-10-01,8.2
1976-11-01,0.0
1976-12-01,0.1
1977-01-01,0.0
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.4
1977-05-01,51.6
1977-06-01,21.9
1977-07-01,133.0
1977-08-01,103.5
1977-09-01,67.6
1977-10-01,38.1
1977-11-01,0.0
1977-12-01,1.3
1978-01-01,0.0
1978-02-01,0.0
1978-03-01,0.5
1978-04-01,0.0
1978-05-01,0.2
1978-06-01,155.9
1978-07-01,215.5
1978-08-01,444.2
1978-09-01,314.7
1978-10-01,47.4
1978-11-01,0.0
1978-12-01,0.0
1979-01-01,3.4
1979-02-01,0.0
1979-03-01,0.0
1979-04-01,0.0
1979-05-01,0.2
1979-06-01,350.4
1979-07-01,581.9
1979-08-01,476.5
1979-09-01,148.8
1979-10-01,0.2
1979-11-01,61.0
1979-12-01,0.0
1980-01-01,3.4
1980-02-01,0.1
1980-03-01,0.2
1980-04-01,0.1
1980-05-01,16.4
1980-06-01,307.2
1980-07-01,559.5
1980-08-01,246.8
1980-09-01,160.5
1980-10-01,0.7
1980-11-01,9.1
1980-12-01,0.0
1981-01-01,0.0
1981-02-01,1.2
1981-03-01,0.0
1981-04-01,1.9
1981-05-01,0.5
1981-06-01,152.6
1981-07-01,278.5
1981-08-01,419.2
1981-09-01,53.9
1981-10-01,6.3
1981-11-01,26.4
1981-12-01,6.5
1982-01-01,0.9
1982-02-01,4.2
1982-03-01,0.0
1982-04-01,0.0
1982-05-01,0.3
1982-06-01,131.0
1982-07-01,176.0
1982-08-01,440.4
1982-09-01,46.2
1982-10-01,11.2
1982-11-01,93.7
1982-12-01,0.1
1983-01-01,0.1
1983-02-01,0.0
1983-03-01,0.0
1983-04-01,0.0
1983-05-01,0.1
1983-06-01,260.2
1983-07-01,267.8
1983-08-01,254.1
1983-09-01,23.7
1983-10-01,0.7
1983-11-01,0.4
1983-12-01,17.7
1984-01-01,1.2
1984-02-01,0.0
1984-03-01,0.6
1984-04-01,0.1
1984-05-01,0.3
1984-06-01,114.4
1984-07-01,408.5
1984-08-01,380.6
1984-09-01,136.4
1984-10-01,40.5
1984-11-01,29.5
1984-12-01,0.0
1985-01-01,0.3
1985-02-01,0.1
1985-03-01,0.1
1985-04-01,2.8
1985-05-01,43.0
1985-06-01,38.9
1985-07-01,268.1
1985-08-01,271.1
1985-09-01,25.9
1985-10-01,6.5
1985-11-01,97.6
1985-12-01,0.0
1986-01-01,0.1
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,7.8
1986-05-01,1.4
1986-06-01,134.0
1986-07-01,408.9
1986-08-01,406.6
1986-09-01,182.8
1986-10-01,80.2
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,83.8
1987-07-01,252.5
1987-08-01,421.9
1987-09-01,91.7
1987-10-01,5.5
1987-11-01,1.6
1987-12-01,0.0
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,0.8
1988-05-01,1.9
1988-06-01,14.6
1988-07-01,250.5
1988-08-01,181.7
1988-09-01,18.3
1988-10-01,126.1
1988-11-01,0.0
1988-12-01,0.3
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.1
1989-04-01,0.0
1989-05-01,2.0
1989-06-01,183.1
1989-07-01,159.4
1989-08-01,148.7
1989-09-01,5.8
1989-10-01,1.9
1989-11-01,1.0
1989-12-01,0.0
1990-01-01,0.6
1990-02-01,0.5
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,0.3
1990-06-01,71.1
1990-07-01,119.7
1990-08-01,184.1
1990-09-01,5.7
1990-10-01,3.1
1990-11-01,10.9
1990-12-01,10.8
1991-01-01,0.0
1991-02-01,0.0
1991-03-01,0.0
1991-04-01,2.8
1991-05-01,0.0
1991-06-01,74.8
1991-07-01,568.4
1991-08-01,251.1
1991-09-01,193.6
1991-10-01,10.6
1991-11-01,0.0
1991-12-01,0.0
1992-01-01,1.1
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.1
1992-06-01,114.7
1992-07-01,349.8
1992-08-01,304.0
1992-09-01,58.7
1992-10-01,1.4
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,3.3
1993-03-01,0.2
1993-04-01,0.0
1993-05-01,33.9
1993-06-01,79.4
1993-07-01,219.5
1993-08-01,524.9
1993-09-01,230.4
1993-10-01,15.4
1993-11-01,5.4
1993-12-01,3.5
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,51.8
1994-07-01,447.6
1994-08-01,132.4
1994-09-01,40.9
1994-10-01,0.0
1994-11-01,0.7
1994-12-01,0.0
1995-01-01,0.7
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,1.2
1995-06-01,130.2
1995-07-01,249.4
1995-08-01,244.4
1995-09-01,240.3
1995-10-01,19.1
1995-11-01,2.8
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,1.5
1996-03-01,0.1
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,131.7
1996-07-01,563.2
1996-08-01,62.8
1996-09-01,147.9
1996-10-01,28.6
1996-11-01,1.6
1996-12-01,0.0
1997-01-01,6.2
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.1
1997-05-01,0.0
1997-06-01,299.8
1997-07-01,475.5
1997-08-01,370.8
1997-09-01,326.0
1997-10-01,1.8
1997-11-01,0.1
1997-12-01,0.0
1998-01-01,2.5
1998-02-01,0.0
1998-03-01,0.2
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,8.6
1998-07-01,436.8
1998-08-01,127.3
1998-09-01,70.5
1998-10-01,21.3
1998-11-01,0.6
1998-12-01,0.6
1999-01-01,1.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,119.6
1999-07-01,368.8
1999-08-01,228.0
1999-09-01,144.5
1999-10-01,23.4
1999-11-01,0.1
1999-12-01,0.0
2000-01-01,0.7
2000-02-01,0.0
2000-03-01,0.2
2000-04-01,3.6
2000-05-01,4.3
2000-06-01,363.4
2000-07-01,229.1
2000-08-01,348.9
2000-09-01,91.8
2000-10-01,8.0
2000-11-01,1.0
2000-12-01,0.9
2001-01-01,0.0
2001-02-01,0.2
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,111.1
2001-07-01,310.9
2001-08-01,202.3
2001-09-01,343.5
2001-10-01,93.7
2001-11-01,3.9
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,1.7
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,8.2
2002-06-01,156.2
2002-07-01,218.2
2002-08-01,53.4
2002-09-01,57.0
2002-10-01,69.1
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,38.0
2003-06-01,66.6
2003-07-01,294.3
2003-08-01,126.5
2003-09-01,13.1
2003-10-01,0.2
2003-11-01,0.0
2003-12-01,4.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.9
2004-05-01,6.9
2004-06-01,241.5
2004-07-01,383.4
2004-08-01,305.7
2004-09-01,31.6
2004-10-01,37.6
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.1
2005-04-01,0.0
2005-05-01,0.1
2005-06-01,268.4
2005-07-01,51.5
2005-08-01,266.6
2005-09-01,118.2
2005-10-01,0.1
2005-11-01,0.3
2005-12-01,0.1
2006-01-01,0.0
2006-02-01,9.2
2006-03-01,0.0
2006-04-01,0.1
2006-05-01,0.0
2006-06-01,237.7
2006-07-01,531.9
2006-08-01,344.6
2006-09-01,132.6
2006-10-01,3.3
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,3.1
2007-06-01,131.0
2007-07-01,247.5
2007-08-01,549.2
2007-09-01,51.1
2007-10-01,22.3
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.1
2008-06-01,402.4
2008-07-01,384.5
2008-08-01,246.2
2008-09-01,351.1
2008-10-01,1.1
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.4
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,120.7
2009-07-01,575.9
2009-08-01,614.7
2009-09-01,137.5
2009-10-01,7.7
2009-11-01,1.1
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.1
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,92.4
2010-07-01,542.1
2010-08-01,349.5
2010-09-01,173.4
2010-10-01,0.0
2010-11-01,1.3
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,2.3
2011-05-01,0.0
2011-06-01,60.5
2011-07-01,267.7
2011-08-01,377.7
2011-09-01,212.3
2011-10-01,10.0
2011-11-01,0.1
2011-12-01,1.9
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,16.8
2012-07-01,402.1
2012-08-01,137.5
2012-09-01,57.0
2012-10-01,27.8
2012-11-01,8.2
2012-12-01,0.0
2013-01-01,0.1
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,61.1
2013-07-01,342.8
2013-08-01,386.4
2013-09-01,220.9
2013-10-01,8.3
2013-11-01,39.9
2013-12-01,0.3
2014-01-01,0.0
2014-02-01,0.2
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,15.9
2014-07-01,271.5
2014-08-01,456.4
2014-09-01,157.5
2014-10-01,2.4
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.1
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.1
2015-05-01,0.0
2015-06-01,32.4
2015-07-01,162.1
2015-08-01,205.4
2015-09-01,247.3
2015-10-01,4.6
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,1.1
2016-03-01,0.1
2016-04-01,5.6
2016-05-01,0.0
2016-06-01,168.2
2016-07-01,454.2
2016-08-01,238.1
2016-09-01,323.3
2016-10-01,59.9
2016-11-01,0.1
2016-12-01,0.0
2017-01-01,7.5
2017-02-01,0.2
2017-03-01,0.2
2017-04-01,1.0
2017-05-01,1.3
2017-06-01,12.2
2017-07-01,341.8
2017-08-01,154.5
2017-09-01,268.6
2017-10-01,3.5
2017-11-01,1.5
2017-12-01,0.0
